gamma,n_0,A_V_max,M_gas,r_out
0.11235955056179775,1.3728234180517433,0.2700844056317086,3471570596.131121,4108.660273049
0.1348314606741573,1.3728234180517433,0.24380764423013276,3812885295.33848,4572.541013506316
0.15730337078651685,1.3728234180517433,0.21888972541069232,4159106578.7219896,5086.762358063917
0.1797752808988764,1.3728234180517433,0.19470834237872192,4446232869.1799965,5629.856099878381
0.20224719101123595,1.3728234180517433,0.17187881240989072,4677296308.986463,6206.787295044454
0.2247191011235955,1.3728234180517433,0.15082998788981278,4865066498.230735,6826.92031234106
0.24719101123595505,1.3728234180517433,0.13163735139343424,5007003168.31015,7492.615274026545
0.2696629213483146,1.3728234180517433,0.11440363273851756,5117537252.27698,8215.441526719982
0.29213483146067415,1.3728234180517433,0.09902201472817701,5193980709.074639,8998.674253622186
0.3146067415730337,1.3728234180517433,0.08269966448460703,4631977049.9893465,9410.120608514011
0.33707865168539325,1.3728234180517433,0.06684546553156025,3634351594.2284627,9386.795804097406
0.3595505617977528,1.3728234180517433,0.05410683450564336,2850370816.9616313,9359.747361648857
0.38202247191011235,1.3728234180517433,0.04386491401465488,2235707459.3550196,9330.959574969189
0.4044943820224719,1.3728234180517433,0.03561740717182637,1753334987.0898988,9299.741525248854
0.42696629213483145,1.3728234180517433,0.028952505202285102,1371657910.9550216,9257.901716713177
0.449438202247191,1.3728234180517433,0.02356615021461484,1070982986.0332749,9207.298917316703
0.47191011235955055,1.3728234180517433,0.019217975576789968,836301605.0502746,9155.348176608433
0.4943820224719101,1.3728234180517433,0.015707227461446528,653998356.9488378,9107.070801126158
0.5168539325842696,1.3728234180517433,0.012850799909514994,508820575.04354966,9038.63398183481
0.5393258426966292,1.3728234180517433,0.010536754587955041,395830201.0639538,8968.289257712086
0.5617977528089888,1.3728234180517433,0.008661666885486259,308368939.2363691,8901.646273058459
0.5842696629213483,1.3728234180517433,0.007130780804165059,238937195.1055634,8813.842995429895
0.6067415730337078,1.3728234180517433,0.0058835124795647495,184678381.09923196,8715.5769776616
0.6292134831460674,1.3728234180517433,0.004868350012381156,142785540.5054408,8617.114040418173
0.651685393258427,1.3728234180517433,0.004040815957972979,110485608.63388799,8520.301254071113
0.6741573033707865,1.3728234180517433,0.003360981412141076,84892749.32155313,8396.767468517039
0.696629213483146,1.3728234180517433,0.002802682448553551,64836302.08372971,8250.55346859472
0.7191011235955056,1.3728234180517433,0.002347031233779161,49741741.983652614,8119.606232024038
0.7415730337078652,1.3728234180517433,0.001968692290765573,37511412.592306346,7927.215090292964
0.7640449438202247,1.3728234180517433,0.0016599652345177646,28543935.30114721,7766.398400196159
0.7865168539325842,1.3728234180517433,0.0014045399642509857,21576199.21173696,7582.426333244299
0.8089887640449438,1.3728234180517433,0.001192558653016983,16151760.122240392,7366.047298750748
0.8314606741573034,1.3728234180517433,0.0010160601402277735,11925126.938308144,7105.720988193155
0.8539325842696629,1.3728234180517433,0.0008696588439297586,8757205.633280214,6831.863095556885
0.8764044943820224,1.3728234180517433,0.0007484891097806794,6456461.112090896,6575.016103132492
0.898876404494382,1.3728234180517433,0.0006464670774296685,4650279.468124208,6252.377681059961
0.9213483146067416,1.3728234180517433,0.0005602934059194837,3247701.649016604,5851.3358885655225
0.9438202247191011,1.3728234180517433,0.0004893322770513627,2330733.137510819,5540.605599961455
0.9662921348314606,1.3728234180517433,0.00042845329115216675,1586446.3855561037,5105.141036648433
0.9887640449438202,1.3728234180517433,0.00037712611529246983,1063268.5192315977,4659.050180382115
1.0112359550561798,1.3728234180517433,0.000333995906422809,713751.0094292231,4246.257435440888
1.0337078651685392,1.3728234180517433,0.0002962841758048382,434837.17396019935,3675.7202517179207
1.0561797752808988,1.3728234180517433,0.00026531261273294714,285346.34887583856,3294.5692740999625
1.0786516853932584,1.3728234180517433,0.00023846793993900366,177963.04516834862,2868.2416839798852
1.101123595505618,1.3728234180517433,0.00021498927911072936,102641.80729441621,2388.31038066071
1.1235955056179776,1.3728234180517433,0.00019477483659919532,57590.98662015467,1950.9760223348712
1.146067415730337,1.3728234180517433,0.00017780830676149024,34726.80077405166,1648.6246198749864
1.1685393258426966,1.3728234180517433,0.00016257855711293334,18583.338019419887,1299.7220594694477
